country,country_code,year,gdppc
Austria,AUT,1921,4224.0
Belgium,BEL,1921,6465.0
Cada,CAN,1921,5351.0
Switzerland,CHE,1921,5999.0
Czechoslovakia,CSK,1921,3323.0
Czech Republic,CZE,1921,
Denmark,DNK,1921,6099.0
United Kingdom,GBR,1921,6792.0
Hungary,HUN,1921,
Italy,ITA,1921,3660.0
Japan,JPN,1921,3244.0
Netherlands,NLD,1921,7063.0
Poland,POL,1921,
Russian Federation,RUS,1921,
Sweden,SWE,1921,4543.0
United States,USA,1921,9675.0
Australia,AUS,1922,8072.0
Austria,AUT,1922,4586.0
Belgium,BEL,1922,7034.0
Cada,CAN,1922,6046.0
Switzerland,CHE,1922,7182.0
Czechoslovakia,CSK,1922,3198.0
Czech Republic,CZE,1922,
Denmark,DNK,1922,6641.0
United Kingdom,GBR,1922,7391.0
Hungary,HUN,1922,
Italy,ITA,1922,3928.0
Japan,JPN,1922,3244.0
Netherlands,NLD,1922,7331.0
Poland,POL,1922,
Russian Federation,RUS,1922,
Sweden,SWE,1922,4868.0
United States,USA,1922,10010.0
Australia,AUS,1923,8276.0
Austria,AUT,1923,4530.0
Belgium,BEL,1923,7226.0
Cada,CAN,1923,6338.0
Switzerland,CHE,1923,7670.0
Czechoslovakia,CSK,1923,3429.0
Czech Republic,CZE,1923,
Denmark,DNK,1923,7267.0
United Kingdom,GBR,1923,7587.0
Hungary,HUN,1923,
Italy,ITA,1923,4248.0
Japan,JPN,1923,3244.0
Netherlands,NLD,1923,7388.0
Poland,POL,1923,
Russian Federation,RUS,1923,
Sweden,SWE,1923,5023.0
United States,USA,1923,11071.0
Australia,AUS,1924,8635.0
Austria,AUT,1924,5042.0
Belgium,BEL,1924,7393.0
Cada,CAN,1924,6339.0
Switzerland,CHE,1924,8196.0
Czechoslovakia,CSK,1924,3751.0
Czech Republic,CZE,1924,
Denmark,DNK,1924,7218.0
United Kingdom,GBR,1924,7844.0
Hungary,HUN,1924,3048.0
Italy,ITA,1924,4324.0
Japan,JPN,1924,3316.0
Netherlands,NLD,1924,7803.0
Poland,POL,1924,
Russian Federation,RUS,1924,
Sweden,SWE,1924,5365.0
United States,USA,1924,11127.0
Australia,AUS,1925,8851.0
Austria,AUT,1925,5367.0
Belgium,BEL,1925,7438.0
Cada,CAN,1925,6918.0
Switzerland,CHE,1925,8385.0
Czechoslovakia,CSK,1925,4154.0
Czech Republic,CZE,1925,
Denmark,DNK,1925,6978.0
United Kingdom,GBR,1925,8199.0
Hungary,HUN,1925,3633.0
Italy,ITA,1925,4580.0
Japan,JPN,1925,3414.0
Netherlands,NLD,1925,8019.0
Poland,POL,1925,
Russian Federation,RUS,1925,
Sweden,SWE,1925,5488.0
United States,USA,1925,11150.0
Australia,AUS,1926,8883.0
Austria,AUT,1926,5440.0
Belgium,BEL,1926,7626.0
Cada,CAN,1926,7168.0
Switzerland,CHE,1926,8656.0
Czechoslovakia,CSK,1926,4105.0
Czech Republic,CZE,1926,
Denmark,DNK,1926,7329.0
United Kingdom,GBR,1926,7868.0
Hungary,HUN,1926,3446.0
Italy,ITA,1926,4576.0
Japan,JPN,1926,3359.0
Netherlands,NLD,1926,8541.0
Poland,POL,1926,
Russian Federation,RUS,1926,
Sweden,SWE,1926,5756.0
United States,USA,1926,11648.0
Australia,AUS,1927,8837.0
Austria,AUT,1927,5587.0
Belgium,BEL,1927,7847.0
Cada,CAN,1927,7726.0
Switzerland,CHE,1927,9260.0
Czechoslovakia,CSK,1927,4387.0
Czech Republic,CZE,1927,
Denmark,DNK,1927,7425.0
United Kingdom,GBR,1927,8472.0
Hungary,HUN,1927,3566.0
Italy,ITA,1927,4454.0
Japan,JPN,1927,3347.0
Netherlands,NLD,1927,8773.0
Poland,POL,1927,
Russian Federation,RUS,1927,
Sweden,SWE,1927,5942.0
United States,USA,1927,11532.0
Australia,AUS,1928,8690.0
Austria,AUT,1928,5829.0
Belgium,BEL,1928,8191.0
Cada,CAN,1928,8244.0
Switzerland,CHE,1928,9659.0
Czechoslovakia,CSK,1928,4745.0
Czech Republic,CZE,1928,
Denmark,DNK,1928,7627.0
United Kingdom,GBR,1928,8539.0
Hungary,HUN,1928,3849.0
Italy,ITA,1928,4693.0
Japan,JPN,1928,3554.0
Netherlands,NLD,1928,9118.0
Poland,POL,1928,
Russian Federation,RUS,1928,
Sweden,SWE,1928,6113.0
United States,USA,1928,11451.0
Australia,AUS,1929,8389.0
Austria,AUT,1929,5896.0
Belgium,BEL,1929,8056.0
Cada,CAN,1929,8074.0
Switzerland,CHE,1929,9920.0
Czechoslovakia,CSK,1929,4849.0
Czech Republic,CZE,1929,
Denmark,DNK,1929,8089.0
United Kingdom,GBR,1929,8772.0
Hungary,HUN,1929,3947.0
Italy,ITA,1929,4889.0
Japan,JPN,1929,3665.0
Netherlands,NLD,1929,9068.0
Poland,POL,1929,3374.0
Russian Federation,RUS,1929,
Sweden,SWE,1929,6476.0
United States,USA,1929,11954.0
Australia,AUS,1930,7504.0
Austria,AUT,1930,5716.0
Belgium,BEL,1930,7936.0
Cada,CAN,1930,7669.0
Switzerland,CHE,1930,9969.0
Czechoslovakia,CSK,1930,4664.0
Czech Republic,CZE,1930,
Denmark,DNK,1930,8513.0
United Kingdom,GBR,1930,8673.0
Hungary,HUN,1930,3832.0
Italy,ITA,1930,4631.0
Japan,JPN,1930,3334.0
Netherlands,NLD,1930,8931.0
Poland,POL,1930,3178.0
Russian Federation,RUS,1930,
Sweden,SWE,1930,6755.0
United States,USA,1930,10695.0
Australia,AUS,1931,6940.0
Austria,AUT,1931,5241.0
Belgium,BEL,1931,7747.0
Cada,CAN,1931,6382.0
Switzerland,CHE,1931,10055.0
Czechoslovakia,CSK,1931,4477.0
Czech Republic,CZE,1931,
Denmark,DNK,1931,8542.0
United Kingdom,GBR,1931,8190.0
Hungary,HUN,1931,3615.0
Italy,ITA,1931,4538.0
Japan,JPN,1931,3321.0
Netherlands,NLD,1931,8265.0
Poland,POL,1931,2906.0
Russian Federation,RUS,1931,
Sweden,SWE,1931,6582.0
United States,USA,1931,9931.0
Australia,AUS,1932,7275.0
Austria,AUT,1932,4686.0
Belgium,BEL,1932,7343.0
Cada,CAN,1932,5852.0
Switzerland,CHE,1932,9752.0
Czechoslovakia,CSK,1932,4272.0
Czech Republic,CZE,1932,
Denmark,DNK,1932,8239.0
United Kingdom,GBR,1932,8206.0
Hungary,HUN,1932,3494.0
Italy,ITA,1932,4602.0
Japan,JPN,1932,3529.0
Netherlands,NLD,1932,8026.0
Poland,POL,1932,2643.0
Russian Federation,RUS,1932,
Sweden,SWE,1932,6325.0
United States,USA,1932,8381.0
Australia,AUS,1933,7718.0
Austria,AUT,1933,4516.0
Belgium,BEL,1933,7461.0
Cada,CAN,1933,5372.0
Switzerland,CHE,1933,10009.0
Czechoslovakia,CSK,1933,4068.0
Czech Republic,CZE,1933,
Denmark,DNK,1933,8434.0
United Kingdom,GBR,1933,8411.0
Hungary,HUN,1933,3784.0
Italy,ITA,1933,4514.0
Japan,JPN,1933,3787.0
Netherlands,NLD,1933,7900.0
Poland,POL,1933,2534.0
Russian Federation,RUS,1933,
Sweden,SWE,1933,6429.0
United States,USA,1933,8048.0
Australia,AUS,1934,8066.0
Austria,AUT,1934,4546.0
Belgium,BEL,1934,7371.0
Cada,CAN,1934,5883.0
Switzerland,CHE,1934,9997.0
Czechoslovakia,CSK,1934,3894.0
Czech Republic,CZE,1934,
Denmark,DNK,1934,8611.0
United Kingdom,GBR,1934,8939.0
Hungary,HUN,1934,3778.0
Italy,ITA,1934,4466.0
Japan,JPN,1934,3756.0
Netherlands,NLD,1934,7659.0
Poland,POL,1934,2539.0
Russian Federation,RUS,1934,
Sweden,SWE,1934,6845.0
United States,USA,1934,8667.0
Australia,AUS,1935,8477.0
Austria,AUT,1935,4634.0
Belgium,BEL,1935,7801.0
Cada,CAN,1935,6298.0
Switzerland,CHE,1935,9479.0
Czechoslovakia,CSK,1935,3841.0
Czech Republic,CZE,1935,
Denmark,DNK,1935,8735.0
United Kingdom,GBR,1935,9244.0
Hungary,HUN,1935,3939.0
Italy,ITA,1935,4670.0
Japan,JPN,1935,3825.0
Netherlands,NLD,1935,7857.0
Poland,POL,1935,2546.0
Russian Federation,RUS,1935,
Sweden,SWE,1935,7160.0
United States,USA,1935,9681.0
Australia,AUS,1936,8792.0
Austria,AUT,1936,4774.0
Belgium,BEL,1936,7831.0
Cada,CAN,1936,6574.0
Switzerland,CHE,1936,9302.0
Czechoslovakia,CSK,1936,4143.0
Czech Republic,CZE,1936,
Denmark,DNK,1936,8886.0
United Kingdom,GBR,1936,9620.0
Hungary,HUN,1936,4173.0
Italy,ITA,1936,4471.0
Japan,JPN,1936,3986.0
Netherlands,NLD,1936,8273.0
Poland,POL,1936,2590.0
Russian Federation,RUS,1936,
Sweden,SWE,1936,7396.0
United States,USA,1936,10568.0
Australia,AUS,1937,9159.0
Austria,AUT,1937,5031.0
Belgium,BEL,1937,7908.0
Cada,CAN,1937,7130.0
Switzerland,CHE,1937,10039.0
Czechoslovakia,CSK,1937,4594.0
Czech Republic,CZE,1937,
Denmark,DNK,1937,9035.0
United Kingdom,GBR,1937,9911.0
Hungary,HUN,1937,4053.0
Italy,ITA,1937,4879.0
Japan,JPN,1937,4075.0
Netherlands,NLD,1937,8660.0
Poland,POL,1937,3052.0
Russian Federation,RUS,1937,
Sweden,SWE,1937,7579.0
United States,USA,1937,11295.0
Australia,AUS,1938,9382.0
Austria,AUT,1938,5673.0
Belgium,BEL,1938,7702.0
Cada,CAN,1938,7246.0
Switzerland,CHE,1938,9609.0
Czechoslovakia,CSK,1938,
Czech Republic,CZE,1938,
Denmark,DNK,1938,9185.0
United Kingdom,GBR,1938,9988.0
Hungary,HUN,1938,4232.0
Italy,ITA,1938,4981.0
Japan,JPN,1938,4257.0
Netherlands,NLD,1938,8368.0
Poland,POL,1938,3478.0
Russian Federation,RUS,1938,
Sweden,SWE,1938,7812.0
United States,USA,1938,10526.0
Australia,AUS,1939,9318.0
Austria,AUT,1939,6529.0
Belgium,BEL,1939,8209.0
Cada,CAN,1939,7600.0
Switzerland,CHE,1939,9836.0
Czechoslovakia,CSK,1939,
Czech Republic,CZE,1939,
Denmark,DNK,1939,9553.0
United Kingdom,GBR,1939,9982.0
Hungary,HUN,1939,4524.0
Italy,ITA,1939,5246.0
Japan,JPN,1939,4804.0
Netherlands,NLD,1939,8837.0
Poland,POL,1939,
Russian Federation,RUS,1939,
Sweden,SWE,1939,8370.0
United States,USA,1939,11171.0
Australia,AUS,1940,9828.0
Austria,AUT,1940,6311.0
Belgium,BEL,1940,7272.0
Cada,CAN,1940,8557.0
Switzerland,CHE,1940,9802.0
Czechoslovakia,CSK,1940,
Czech Republic,CZE,1940,
Denmark,DNK,1940,8155.0
United Kingdom,GBR,1940,10928.0
Hungary,HUN,1940,4186.0
Italy,ITA,1940,5099.0
Japan,JPN,1940,4882.0
Netherlands,NLD,1940,7701.0
Poland,POL,1940,
Russian Federation,RUS,1940,
Sweden,SWE,1940,7739.0
United States,USA,1940,12005.0
Australia,AUS,1941,10820.0
Austria,AUT,1941,6722.0
Belgium,BEL,1941,6947.0
Cada,CAN,1941,9645.0
Switzerland,CHE,1941,9217.0
Czechoslovakia,CSK,1941,
Czech Republic,CZE,1941,
Denmark,DNK,1941,7291.0
United Kingdom,GBR,1941,11926.0
Hungary,HUN,1941,4186.0
Italy,ITA,1941,4967.0
Japan,JPN,1941,4986.0
Netherlands,NLD,1941,7222.0
Poland,POL,1941,
Russian Federation,RUS,1941,
Sweden,SWE,1941,7511.0
United States,USA,1941,13553.0
Australia,AUS,1942,11963.0
Austria,AUT,1942,6349.0
Belgium,BEL,1942,6371.0
Cada,CAN,1942,11210.0
Switzerland,CHE,1942,8740.0
Czechoslovakia,CSK,1942,
Czech Republic,CZE,1942,
Denmark,DNK,1942,7379.0
United Kingdom,GBR,1942,12176.0
Hungary,HUN,1942,4372.0
Italy,ITA,1942,4661.0
Japan,JPN,1942,4939.0
Netherlands,NLD,1942,6546.0
Poland,POL,1942,
Russian Federation,RUS,1942,
Sweden,SWE,1942,7557.0
United States,USA,1942,14870.0
Australia,AUS,1943,12278.0
Austria,AUT,1943,6480.0
Belgium,BEL,1943,6228.0
Cada,CAN,1943,11577.0
Switzerland,CHE,1943,8643.0
Czechoslovakia,CSK,1943,
Czech Republic,CZE,1943,
Denmark,DNK,1943,8097.0
United Kingdom,GBR,1943,12344.0
Hungary,HUN,1943,
Italy,ITA,1943,3931.0
Japan,JPN,1943,4826.0
Netherlands,NLD,1943,6346.0
Poland,POL,1943,
Russian Federation,RUS,1943,
Sweden,SWE,1943,7779.0
United States,USA,1943,16050.0
Australia,AUS,1944,11735.0
Austria,AUT,1944,6618.0
Belgium,BEL,1944,6554.0
Cada,CAN,1944,11864.0
Switzerland,CHE,1944,8891.0
Czechoslovakia,CSK,1944,
Czech Republic,CZE,1944,
Denmark,DNK,1944,8835.0
United Kingdom,GBR,1944,11803.0
Hungary,HUN,1944,
Italy,ITA,1944,3162.0
Japan,JPN,1944,4816.0
Netherlands,NLD,1944,4222.0
Poland,POL,1944,
Russian Federation,RUS,1944,
Sweden,SWE,1944,7987.0
United States,USA,1944,16999.0
Australia,AUS,1945,11026.0
Austria,AUT,1945,2750.0
Belgium,BEL,1945,6907.0
Cada,CAN,1945,11370.0
Switzerland,CHE,1945,8839.0
Czechoslovakia,CSK,1945,
Czech Republic,CZE,1945,
Denmark,DNK,1945,8075.0
United Kingdom,GBR,1945,11247.0
Hungary,HUN,1945,
Italy,ITA,1945,2831.0
Japan,JPN,1945,3678.0
Netherlands,NLD,1945,4281.0
Poland,POL,1945,
Russian Federation,RUS,1945,
Sweden,SWE,1945,8201.0
United States,USA,1945,16478.0
Australia,AUS,1946,10512.0
Austria,AUT,1946,3118.0
Belgium,BEL,1946,7291.0
Cada,CAN,1946,11048.0
Switzerland,CHE,1946,10866.0
Czechoslovakia,CSK,1946,
Czech Republic,CZE,1946,
Denmark,DNK,1946,9208.0
United Kingdom,GBR,1946,10751.0
Hungary,HUN,1946,2743.0
Italy,ITA,1946,3805.0
Japan,JPN,1946,2771.0
Netherlands,NLD,1946,7104.0
Poland,POL,1946,
Russian Federation,RUS,1946,
Sweden,SWE,1946,9000.0
United States,USA,1946,14822.0
Australia,AUS,1947,10622.0
Austria,AUT,1947,3453.0
Belgium,BEL,1947,7651.0
Cada,CAN,1947,11298.0
Switzerland,CHE,1947,11021.0
Czechoslovakia,CSK,1947,
Czech Republic,CZE,1947,
Denmark,DNK,1947,9620.0
United Kingdom,GBR,1947,10527.0
Hungary,HUN,1947,2828.0
Italy,ITA,1947,4498.0
Japan,JPN,1947,2711.0
Netherlands,NLD,1947,8046.0
Poland,POL,1947,
Russian Federation,RUS,1947,
Sweden,SWE,1947,9709.0
United States,USA,1947,14312.0
Australia,AUS,1948,11105.0
Austria,AUT,1948,4406.0
Belgium,BEL,1948,8008.0
Cada,CAN,1948,11261.0
Switzerland,CHE,1948,11189.0
Czechoslovakia,CSK,1948,4922.0
Czech Republic,CZE,1948,
Denmark,DNK,1948,9776.0
United Kingdom,GBR,1948,10753.0
Hungary,HUN,1948,3507.0
Italy,ITA,1948,4814.0
Japan,JPN,1948,2857.0
Netherlands,NLD,1948,8751.0
Poland,POL,1948,3439.0
Russian Federation,RUS,1948,
Sweden,SWE,1948,9822.0
United States,USA,1948,14734.0
Australia,AUS,1949,11536.0
Austria,AUT,1949,5249.0
Belgium,BEL,1949,8278.0
Cada,CAN,1949,11260.0
Switzerland,CHE,1949,10944.0
Czechoslovakia,CSK,1949,5195.0
Czech Republic,CZE,1949,
Denmark,DNK,1949,10351.0
United Kingdom,GBR,1949,11088.0
Hungary,HUN,1949,3752.0
Italy,ITA,1949,5188.0
Japan,JPN,1949,2867.0
Netherlands,NLD,1949,9373.0
Poland,POL,1949,3630.0
Russian Federation,RUS,1949,
Sweden,SWE,1949,10127.0
United States,USA,1949,14197.0
Australia,AUS,1950,11815.0
Austria,AUT,1950,5907.0
Belgium,BEL,1950,8706.0
Cada,CAN,1950,11622.0
Switzerland,CHE,1950,11541.0
Czechoslovakia,CSK,1950,5581.0
Czech Republic,CZE,1950,
Denmark,DNK,1950,11067.0
United Kingdom,GBR,1950,11061.0
Hungary,HUN,1950,3953.0
Italy,ITA,1950,5582.0
Japan,JPN,1950,3062.0
Netherlands,NLD,1950,9558.0
Poland,POL,1950,3900.0
Russian Federation,RUS,1950,
Sweden,SWE,1950,10742.0
United States,USA,1950,15240.0
Australia,AUS,1951,11966.0
Austria,AUT,1951,6311.0
Belgium,BEL,1951,9161.0
Cada,CAN,1951,12007.0
Switzerland,CHE,1951,11878.0
Czechoslovakia,CSK,1951,5617.0
Czech Republic,CZE,1951,
Denmark,DNK,1951,11056.0
United Kingdom,GBR,1951,11354.0
Hungary,HUN,1951,4296.0
Italy,ITA,1951,5958.0
Japan,JPN,1951,3389.0
Netherlands,NLD,1951,9615.0
Poland,POL,1951,4001.0
Russian Federation,RUS,1951,
Sweden,SWE,1951,11077.0
United States,USA,1951,16125.0
Australia,AUS,1952,11824.0
Austria,AUT,1952,6323.0
Belgium,BEL,1952,9035.0
Cada,CAN,1952,12486.0
Switzerland,CHE,1952,12016.0
Czechoslovakia,CSK,1952,5735.0
Czech Republic,CZE,1952,
Denmark,DNK,1952,11086.0
United Kingdom,GBR,1952,11303.0
Hungary,HUN,1952,4403.0
Italy,ITA,1952,6371.0
Japan,JPN,1952,3724.0
Netherlands,NLD,1952,9698.0
Poland,POL,1952,4018.0
Russian Federation,RUS,1952,
Sweden,SWE,1952,11152.0
United States,USA,1952,16444.0
Australia,AUS,1953,11963.0
Austria,AUT,1953,6594.0
Belgium,BEL,1953,9274.0
Cada,CAN,1953,12726.0
Switzerland,CHE,1953,12471.0
Czechoslovakia,CSK,1953,5649.0
Czech Republic,CZE,1953,
Denmark,DNK,1953,11623.0
United Kingdom,GBR,1953,11709.0
Hungary,HUN,1953,4441.0
Italy,ITA,1953,6790.0
Japan,JPN,1953,3944.0
Netherlands,NLD,1953,10429.0
Poland,POL,1953,4173.0
Russian Federation,RUS,1953,
Sweden,SWE,1953,11389.0
United States,USA,1953,16917.0
Australia,AUS,1954,12419.0
Austria,AUT,1954,7261.0
Belgium,BEL,1954,9610.0
Cada,CAN,1954,12272.0
Switzerland,CHE,1954,13171.0
Czechoslovakia,CSK,1954,5821.0
Czech Republic,CZE,1954,
Denmark,DNK,1954,11749.0
United Kingdom,GBR,1954,12145.0
Hungary,HUN,1954,4543.0
Italy,ITA,1954,7092.0
Japan,JPN,1954,4116.0
Netherlands,NLD,1954,11010.0
Poland,POL,1954,4328.0
Russian Federation,RUS,1954,
Sweden,SWE,1954,11799.0
United States,USA,1954,16512.0
Australia,AUS,1955,12795.0
Austria,AUT,1955,8054.0
Belgium,BEL,1955,10010.0
Cada,CAN,1955,13072.0
Switzerland,CHE,1955,13999.0
Czechoslovakia,CSK,1955,6252.0
Czech Republic,CZE,1955,
Denmark,DNK,1955,11788.0
United Kingdom,GBR,1955,12541.0
Hungary,HUN,1955,4894.0
Italy,ITA,1955,7453.0
Japan,JPN,1955,4417.0
Netherlands,NLD,1955,11678.0
Poland,POL,1955,4454.0
Russian Federation,RUS,1955,
Sweden,SWE,1955,12060.0
United States,USA,1955,17370.0
Australia,AUS,1956,12924.0
Austria,AUT,1956,8603.0
Belgium,BEL,1956,10237.0
Cada,CAN,1956,13791.0
Switzerland,CHE,1956,14507.0
Czechoslovakia,CSK,1956,6551.0
Czech Republic,CZE,1956,
Denmark,DNK,1956,11858.0
United Kingdom,GBR,1956,12639.0
Hungary,HUN,1956,4632.0
Italy,ITA,1956,7745.0
Japan,JPN,1956,4699.0
Netherlands,NLD,1956,11953.0
Poland,POL,1956,4565.0
Russian Federation,RUS,1956,
Sweden,SWE,1956,12428.0
United States,USA,1956,17397.0
Australia,AUS,1957,12895.0
Austria,AUT,1957,9111.0
Belgium,BEL,1957,10353.0
Cada,CAN,1957,13719.0
Switzerland,CHE,1957,14668.0
Czechoslovakia,CSK,1957,6886.0
Czech Republic,CZE,1957,
Denmark,DNK,1957,12696.0
United Kingdom,GBR,1957,12779.0
Hungary,HUN,1957,5051.0
Italy,ITA,1957,8158.0
Japan,JPN,1957,4999.0
Netherlands,NLD,1957,12137.0
Poland,POL,1957,4721.0
Russian Federation,RUS,1957,
Sweden,SWE,1957,12899.0
United States,USA,1957,17406.0
Australia,AUS,1958,13238.0
Austria,AUT,1958,9416.0
Belgium,BEL,1958,10268.0
Cada,CAN,1958,13603.0
Switzerland,CHE,1958,14644.0
Czechoslovakia,CSK,1958,7348.0
Czech Republic,CZE,1958,
Denmark,DNK,1958,12903.0
United Kingdom,GBR,1958,12698.0
Hungary,HUN,1958,5367.0
Italy,ITA,1958,8544.0
Japan,JPN,1958,5243.0
Netherlands,NLD,1958,11926.0
Poland,POL,1958,4873.0
Russian Federation,RUS,1958,
Sweden,SWE,1958,12884.0
United States,USA,1958,16946.0
Australia,AUS,1959,13753.0
Austria,AUT,1959,9645.0
Belgium,BEL,1959,10533.0
Cada,CAN,1959,13829.0
Switzerland,CHE,1959,15470.0
Czechoslovakia,CSK,1959,7619.0
Czech Republic,CZE,1959,
Denmark,DNK,1959,13767.0
United Kingdom,GBR,1959,13134.0
Hungary,HUN,1959,5553.0
Italy,ITA,1959,9011.0
Japan,JPN,1959,5665.0
Netherlands,NLD,1959,12333.0
Poland,POL,1959,4935.0
Russian Federation,RUS,1959,
Sweden,SWE,1959,13211.0
United States,USA,1959,17900.0
Australia,AUS,1960,14013.0
Austria,AUT,1960,10391.0
Belgium,BEL,1960,11081.0
Cada,CAN,1960,13952.0
Switzerland,CHE,1960,16358.0
Czechoslovakia,CSK,1960,8142.0
Czech Republic,CZE,1960,
Denmark,DNK,1960,14046.0
United Kingdom,GBR,1960,13780.0
Hungary,HUN,1960,5816.0
Italy,ITA,1960,9430.0
Japan,JPN,1960,6354.0
Netherlands,NLD,1960,13209.0
Poland,POL,1960,5125.0
Russian Federation,RUS,1960,5557.0
Sweden,SWE,1960,13849.0
United States,USA,1960,18057.0
Australia,AUS,1961,13793.0
Austria,AUT,1961,10882.0
Belgium,BEL,1961,11561.0
Cada,CAN,1961,14080.0
Switzerland,CHE,1961,17308.0
Czechoslovakia,CSK,1961,8389.0
Czech Republic,CZE,1961,
Denmark,DNK,1961,14843.0
United Kingdom,GBR,1961,14118.0
Hungary,HUN,1961,6083.0
Italy,ITA,1961,10158.0
Japan,JPN,1961,7055.0
Netherlands,NLD,1961,13074.0
Poland,POL,1961,5461.0
Russian Federation,RUS,1961,5874.0
Sweden,SWE,1961,14564.0
United States,USA,1961,18175.0
Australia,AUS,1962,14389.0
Austria,AUT,1962,11078.0
Belgium,BEL,1962,12087.0
Cada,CAN,1962,14787.0
Switzerland,CHE,1962,17794.0
Czechoslovakia,CSK,1962,8454.0
Czech Republic,CZE,1962,
Denmark,DNK,1962,15537.0
United Kingdom,GBR,1962,14131.0
Hungary,HUN,1962,6315.0
Italy,ITA,1962,10882.0
Japan,JPN,1962,7614.0
Netherlands,NLD,1962,13770.0
Poland,POL,1962,5325.0
Russian Federation,RUS,1962,6229.0
Sweden,SWE,1962,15093.0
United States,USA,1962,18976.0
Australia,AUS,1963,14983.0
Austria,AUT,1963,11454.0
Belgium,BEL,1963,12532.0
Cada,CAN,1963,15248.0
Switzerland,CHE,1963,18438.0
Czechoslovakia,CSK,1963,8241.0
Czech Republic,CZE,1963,
Denmark,DNK,1963,15513.0
United Kingdom,GBR,1963,14583.0
Hungary,HUN,1963,6644.0
Italy,ITA,1963,11576.0
Japan,JPN,1963,8176.0
Netherlands,NLD,1963,14078.0
Poland,POL,1963,5582.0
Russian Federation,RUS,1963,6405.0
Sweden,SWE,1963,15808.0
United States,USA,1963,19514.0
Australia,AUS,1964,15699.0
Austria,AUT,1964,12062.0
Belgium,BEL,1964,13295.0
Cada,CAN,1964,15938.0
Switzerland,CHE,1964,19195.0
Czechoslovakia,CSK,1964,8563.0
Czech Republic,CZE,1964,
Denmark,DNK,1964,16832.0
United Kingdom,GBR,1964,15251.0
Hungary,HUN,1964,6994.0
Italy,ITA,1964,11934.0
Japan,JPN,1964,9035.0
Netherlands,NLD,1964,15042.0
Poland,POL,1964,5773.0
Russian Federation,RUS,1964,6754.0
Sweden,SWE,1964,16761.0
United States,USA,1964,20360.0
Australia,AUS,1965,16182.0
Austria,AUT,1965,12328.0
Belgium,BEL,1965,13643.0
Cada,CAN,1965,16694.0
Switzerland,CHE,1965,19803.0
Czechoslovakia,CSK,1965,8820.0
Czech Republic,CZE,1965,
Denmark,DNK,1965,17459.0
United Kingdom,GBR,1965,15545.0
Hungary,HUN,1965,7029.0
Italy,ITA,1965,12111.0
Japan,JPN,1965,9459.0
Netherlands,NLD,1965,15618.0
Poland,POL,1965,6036.0
Russian Federation,RUS,1965,7068.0
Sweden,SWE,1965,17239.0
United States,USA,1965,21390.0
Australia,AUS,1966,16324.0
Austria,AUT,1966,12930.0
Belgium,BEL,1966,13989.0
Cada,CAN,1966,17448.0
Switzerland,CHE,1966,20225.0
Czechoslovakia,CSK,1966,9151.0
Czech Republic,CZE,1966,
Denmark,DNK,1966,17789.0
United Kingdom,GBR,1966,15757.0
Hungary,HUN,1966,7406.0
Italy,ITA,1966,12659.0
Japan,JPN,1966,10370.0
Netherlands,NLD,1966,15838.0
Poland,POL,1966,6362.0
Russian Federation,RUS,1966,7517.0
Sweden,SWE,1966,17432.0
United States,USA,1966,22529.0
Australia,AUS,1967,17108.0
Austria,AUT,1967,13225.0
Belgium,BEL,1967,14461.0
Cada,CAN,1967,17658.0
Switzerland,CHE,1967,20742.0
Czechoslovakia,CSK,1967,9507.0
Czech Republic,CZE,1967,
Denmark,DNK,1967,18230.0
United Kingdom,GBR,1967,16018.0
Hungary,HUN,1967,7801.0
Italy,ITA,1967,13476.0
Japan,JPN,1967,11400.0
Netherlands,NLD,1967,16483.0
Poland,POL,1967,6540.0
Russian Federation,RUS,1967,7943.0
Sweden,SWE,1967,17883.0
United States,USA,1967,22842.0
Australia,AUS,1968,17770.0
Austria,AUT,1968,13742.0
Belgium,BEL,1968,15009.0
Cada,CAN,1968,18297.0
Switzerland,CHE,1968,21395.0
Czechoslovakia,CSK,1968,9919.0
Czech Republic,CZE,1968,
Denmark,DNK,1968,18868.0
United Kingdom,GBR,1968,16593.0
Hungary,HUN,1968,7865.0
Italy,ITA,1968,14513.0
Japan,JPN,1968,12725.0
Netherlands,NLD,1968,17365.0
Poland,POL,1968,6881.0
Russian Federation,RUS,1968,8391.0
Sweden,SWE,1968,18428.0
United States,USA,1968,23691.0
Australia,AUS,1969,18428.0
Austria,AUT,1969,14555.0
Belgium,BEL,1969,15969.0
Cada,CAN,1969,18988.0
Switzerland,CHE,1969,22308.0
Czechoslovakia,CSK,1969,10128.0
Czech Republic,CZE,1969,
Denmark,DNK,1969,19974.0
United Kingdom,GBR,1969,16820.0
Hungary,HUN,1969,8069.0
Italy,ITA,1969,15248.0
Japan,JPN,1969,14145.0
Netherlands,NLD,1969,18270.0
Poland,POL,1969,6760.0
Russian Federation,RUS,1969,8563.0
Sweden,SWE,1969,19215.0
United States,USA,1969,24195.0
Australia,AUS,1970,19166.0
Austria,AUT,1970,15537.0
Belgium,BEL,1970,16914.0
Cada,CAN,1970,19207.0
Switzerland,CHE,1970,23479.0
Czechoslovakia,CSK,1970,10307.0
Czech Republic,CZE,1970,8748.0
Denmark,DNK,1970,20221.0
United Kingdom,GBR,1970,17162.0
Hungary,HUN,1970,8015.0
Italy,ITA,1970,15492.0
Japan,JPN,1970,15484.0
Netherlands,NLD,1970,19075.0
